,source,target,weight
4455,1441,4025,0.56
4456,1441,4026,0.56
4457,1442,1501,3.12
4458,1442,3776,3.12
4459,1443,1811,2
4460,1444,722,1.12
4461,1444,3448,1.12
4462,1445,1215,3.12
4463,1445,1469,3.12
4464,1446,150,2.56
4465,1446,405,3.12
4466,1446,1097,3.12
4467,1446,2069,2.8
4468,1446,2594,2.12
4469,1447,628,1.72
4470,1447,772,3.12
4471,1447,1233,3.12
4472,1447,1636,3.12
4473,1447,1688,3.12
4474,1447,1730,3.12
4475,1447,2728,2.12
4476,1447,3087,3.12
4477,1447,3090,3.12
4478,1447,3805,3.12
4479,1447,3915,2.56
4480,1448,271,2.12
4481,1448,298,2.12
4482,1448,509,1.72
4483,1448,1702,2.56
4484,1448,2906,3.12
4485,1448,3414,2.96
4486,1449,231,3.12
4487,1450,2718,3.12
4488,1451,3279,2.8
4489,1452,1568,1.34944
4490,1452,3049,3.12
4491,1452,4095,0.4096
4492,1452,4235,1.2496
4493,1453,1075,1.12
4494,1453,1155,1.12
4495,1453,1383,1.12
4496,1453,1720,1.12
4497,1453,3368,1.12
4498,1454,1563,1.56
4499,1454,1568,1.12
4500,1454,1837,0.72
4501,1454,1906,1.56
4502,1454,3421,1.56
4503,1454,4191,0.96
4504,1455,1678,0.96
4505,1455,2225,2.12
4506,1455,3982,1.96
4507,1456,1490,2.4
4508,1456,1733,2.8
4509,1456,4240,2.4
4510,1457,2935,0.32
4511,1458,239,3.12
4512,1458,520,3.12
4513,1458,741,1.5856
4514,1458,744,1.72
4515,1458,1021,1.72
4516,1458,1092,1.72
4517,1458,1502,1.56
4518,1458,1767,3.12
4519,1458,1842,1.72
4520,1458,1946,2.56
4521,1458,2461,2.96
4522,1458,2651,3.12
4523,1458,3028,2.12
4524,1458,3799,3.12
4525,1458,4289,2.56
4526,1459,864,1.72
4527,1459,4008,1.16
4528,1460,152,2.96
4529,1460,479,3.12
4530,1460,575,0.72
4531,1460,1737,1.56
4532,1460,3931,3.12
4533,1461,365,3.12
4534,1461,2926,2.7472
4535,1461,3297,2.56
4536,1461,4312,2.56
4537,1462,38,3.12
4538,1462,454,3.12
4539,1462,1880,2.96
4540,1463,2644,1.12
4541,1463,3406,0.72
4542,1463,3469,0.72
4543,1463,3515,0.72
4544,1463,3595,1.12
4545,1463,3620,1.12
4546,1463,3681,2.12
4547,1463,3801,2.12
4548,1463,3967,2.12
4549,1463,4010,2.12
4550,1463,4072,2.12
4551,1463,4174,1.96
4552,1463,4203,1.96
4553,1463,4266,1.56
4554,1463,4269,1.56
4555,1463,4294,1.56
4556,1463,4309,1.56
4557,1464,342,3.12
4558,1465,582,1.72
4559,1465,928,1.72
4560,1465,1625,1.72
4561,1465,2256,0.32
4562,1466,371,0.32
4563,1467,439,3.12
4564,1467,759,182.4018613
4565,1467,1922,2.12
4566,1467,3410,2.12
4567,1467,3971,3.12
4568,1468,2064,1.56
4569,1468,3877,2.4
4570,1469,1215,0.505412803
4571,1469,2103,3.12
4572,1469,2276,2.8
4573,1470,114,2.12
4574,1470,294,2.12
4575,1470,494,1.12
4576,1470,579,2.12
4577,1470,1151,2.12
4578,1470,1701,2.12
4579,1470,2048,1.16
4580,1470,2068,1.72
4581,1470,2159,1.96
4582,1470,2932,2.12
4583,1470,3058,0.72
4584,1470,3175,1.96
4585,1470,3740,2.12
4586,1470,4168,1.96
4587,1472,181,2.12
4588,1472,1213,3.12
4589,1473,1406,2.4
4590,1473,1840,2.56
4591,1473,1991,1.56
4592,1474,2939,3.12
4593,1474,3377,3.12
4594,1475,179,1.96
4595,1475,1017,3.12
4596,1475,2009,0.32
4597,1479,3331,2
4598,1483,479,2.96
4599,1484,1648,3.12
4600,1484,1742,2.12
4601,1487,521,3.12
4602,1487,3129,2.12
4603,1492,166,2.56
4604,1492,1234,0.32
4605,1492,2193,2.56
4606,1492,2961,2
4607,1493,32,2.56
4608,1493,104,3.12
