,OperatingIncomeLoss.csv,Assets.csv,ProfitLoss.csv,Liabilities.csv,NetIncomeLoss.csv,StockholdersEquity.csv,Revenues.csv,EntityPublicFloat.csv,RevenueFromContractWithCustomerExcludingAssessedTax.csv,Target
72,-0.11897369614878928,-0.25737627379993705,-0.13282449344361547,-0.20945651762703077,-0.12781739135401876,-0.19051174218278413,-0.22238980833023267,-0.0818968296951964,-0.33656349337261426,0
73,,,,,,,,,,0
74,,,,,,,-0.12056717089407058,-0.07744351028087636,,0
75,,,,,,,,,,0
76,,,,,,,,,,0
77,,,,,,,,,,1
78,,,,,,,,,,0
79,,,,,,,,,,0
80,,,,,,,,,,0
81,,,,,,,,,,1
82,,,,,,,,,,0
83,,,,,,,-0.1455966926358489,,,0
84,,,,,,,,,,0
85,,,,,,,,,,0
86,-0.18490843469367851,,,,,,-0.22261350349251152,,,0
87,,,,,,,,,,0
88,,,,,,,,,,0
89,,-0.2596508644832664,,,,-0.19521161587793,,,,0
90,,,,,,,,,,0
91,,,,,,,-0.04492420171214883,,,0
92,,,,,,,,,,0
93,,,,,,,,,,0
94,,,,,,,,,,0
95,-0.11554664935856315,-0.2508429483939646,,,-0.12094913830633619,,,,,0
96,,,,,,,,,,0
97,,,,,,,,,,0
98,,0.25230632572459055,,0.14270250404867044,0.7730373659676147,0.48185192567496377,0.11609631003253255,,,0
99,-0.12235090564608651,-0.2598022144622766,,-0.2101633568984108,-0.1179173152402981,-0.19568981896065213,-0.22260216871528726,,,0
100,,,,,,,,,,0
101,-0.13644704193037843,-0.25920251018214263,,-0.20712854079336618,-0.1469032292124928,-0.20021222990058116,-0.22252615903272455,,,0
102,,-0.053606802201962865,-0.05297793237611629,-0.08853330986082437,-0.04614076016530506,0.10046151766586167,,,,1
103,,,,,,,,,,0
104,-0.11905974951844826,,,,,,,,,0
105,,,,,,,-0.18001224335881902,,,1
106,,,,,,,-0.2104412862568556,,,1
107,-0.08064979508831373,-0.17090137342487238,-0.06701964828390414,-0.14588996715607333,-0.04572541445076509,-0.09939663526726542,-0.14615276347143924,,,0
108,,,,,,,,,,0
109,,,,,,,-0.21894520286935915,,,1
110,,,,,,,,,,0
111,,,,,,,,,,1
112,,1.2255519596684865,,,,,,,,0
113,-0.1721549737129996,0.19103975570218285,-0.6330865188900756,0.1419177695531568,-0.6756563823311936,0.3167839263675541,-0.08559604939921121,,,0
114,,,,,,,-0.20285448647211526,,,0
115,,,,,,,,,,0
116,,,,,,,,,,0
117,-0.04873438357739702,-0.22491099519617871,-0.0317439392119958,-0.15825556552548428,-0.08494247720769059,-0.22625712949703541,-0.19886047769166565,,,0
118,,,,,,,-0.11918366132110904,,,0
119,-0.1069756121766204,-0.17226792580858324,-0.11644524159348144,-0.14044622265887952,-0.11022439026664486,-0.09894288670295921,-0.1997105859834854,,,0
120,-0.14411905343595732,-0.24946497395121942,-0.08656511548496514,-0.20563221731768383,-0.07752042987395473,-0.17675800178590034,-0.22222278705407514,,,0
121,,,,,,,-0.1659396173711951,,,0
122,-0.0673012181979548,-0.18291722559288015,,-0.13389988489367347,-0.05384171114310399,-0.14118555481592596,,,,0
123,,,,,,,0.10459484490791246,,,0
124,,,,,,,,,,0
125,,,,,,,,,,0
126,,,,,,,,,,0
127,,,,,,,,,,1
128,,,,,,,,,,0
129,-0.20507006268796002,-0.22623684687357318,-0.2860568495701213,-0.1772032690323705,,-0.17121796463613653,,,,0
130,,,,,,,,,,0
131,,,,,,,,,,0
132,-0.1269173697609216,0.03519361092015833,,-0.16409283372127043,-0.02033113733377102,0.5133490104012561,,,,0
133,,,,,,,-0.20779928303620013,,,0
134,,,,,,,,,,0
135,,,,,,,-0.20857538190026145,,,0
136,,,,,,,,,,0
137,,,,,,,,,,0
138,,,,,,,,,,0
139,,,,,,,,,,0
140,,,,,,,,,,0
141,,,,,,,,-0.0817264135836277,,0
142,,0.38074590177899836,,0.2819683024220909,,0.3814811185324251,,,,0
143,,,,,,,,,,0
144,,,,,,,,-0.0814315060721831,,0
145,,,,,,,,,,0
146,,,,,,,,,,0
147,,,,,,,,,,0
